# time(s) volume
164.8849 0.0502
165.4190 0.0755
165.9530 0.0556
166.4871 0.0871
166.9979 0.0858
167.5088 0.0939
168.0196 0.0693
168.5304 0.0471
169.0413 0.0767
169.5521 0.0627
170.0629 0.0575
170.5738 0.1124
171.0382 0.1216
171.5026 0.1223
172.0134 0.1074
172.5243 0.0786
173.0351 0.1059
173.5459 0.1509
174.0336 0.1343
174.5444 0.0679
175.0552 0.0854
175.5429 0.1022
176.0305 0.1114
176.4949 0.1214
177.0057 0.1287
177.5166 0.0977
178.0274 0.0734
178.5382 0.0961
179.0723 0.0744
179.6063 0.0857
180.1172 0.1235
180.6512 0.1391
181.1853 0.0725
181.7194 0.1088
182.2534 0.0858
182.7875 0.0691
183.3215 0.1012
183.8324 0.0825
184.3432 0.0745
184.8541 0.0839
185.3649 0.0827
185.8990 0.0865
186.4330 0.0893
186.9439 0.1367
187.4547 0.0754
187.9655 0.0656
188.4764 0.0518
188.9872 0.0596
189.4980 0.0667
190.0089 0.0184
190.5197 0.0139
191.0306 0.0874
