# time(s) volume
99.4743 0.1653
99.7761 0.2279
100.0780 0.2467
100.3799 0.1907
100.6817 0.2462
100.9836 0.1714
101.2622 0.1609
101.5641 0.1452
101.8659 0.2564
102.1678 0.2583
102.4464 0.2776
102.7483 0.2254
103.0502 0.2444
103.3520 0.2339
103.6539 0.2590
103.9557 0.2758
104.2576 0.3030
104.5595 0.2034
104.8613 0.2657
105.1632 0.2164
105.4650 0.2437
105.7669 0.2309
106.0688 0.1348
106.3706 0.2231
106.6725 0.2095
106.9743 0.1431
107.2762 0.1551
107.5780 0.2084
107.8799 0.2591
108.1818 0.2916
108.4836 0.2005
108.7855 0.2077
109.0873 0.1647
109.3892 0.2849
109.6911 0.2702
109.9929 0.2302
110.2948 0.2076
110.5966 0.2462
110.8985 0.2176
111.2004 0.1736
111.5022 0.2189
111.8041 0.3003
112.1059 0.2312
112.4078 0.2619
112.7097 0.2403
113.0115 0.2547
113.3134 0.2761
113.6152 0.2796
113.9171 0.2805
114.2190 0.3024
114.5208 0.2128
114.8227 0.2668
115.1245 0.2239
115.4264 0.2072
115.7283 0.2295
116.0301 0.1276
116.3320 0.2467
116.6338 0.2437
116.9357 0.2067
117.2376 0.2337
117.5394 0.1797
117.8413 0.2592
118.1431 0.2374
118.4450 0.2565
118.7468 0.2394
119.0487 0.2893
119.3506 0.2780
119.6524 0.2186
119.9543 0.2528
120.2561 0.2777
120.5580 0.3261
120.8599 0.3045
121.1617 0.2878
121.4636 0.3325
121.7654 0.3204
122.0673 0.2802
122.3692 0.2587
122.6710 0.3226
122.9729 0.2722
123.2980 0.3048
123.5998 0.2962
123.9249 0.2356
124.2268 0.3110
124.5518 0.2809
124.8537 0.2829
125.1788 0.1779
125.4806 0.2459
125.8057 0.2658
126.1076 0.2976
126.4094 0.2288
126.7113 0.2647
127.0132 0.2245
127.3150 0.2988
127.6401 0.2451
127.9420 0.2469
128.2670 0.2589
128.5689 0.2851
128.8707 0.2309
129.1726 0.2821
129.4745 0.2559
129.7763 0.2530
130.1014 0.2064
130.4033 0.3114
130.7051 0.2730
131.0070 0.3207
131.3088 0.2297
131.6107 0.2804
131.9126 0.2206
132.2144 0.2579
132.5163 0.2200
132.8181 0.2937
133.1432 0.2260
133.4451 0.2828
133.7702 0.2177
134.0720 0.2419
134.3739 0.2793
134.6757 0.2801
135.0008 0.2055
135.3259 0.2138
135.6278 0.2124
135.9296 0.3017
136.2315 0.2747
136.5333 0.2855
136.8352 0.3252
137.1371 0.2984
137.4389 0.2779
137.7408 0.2502
138.0426 0.3003
138.3677 0.2977
138.6696 0.2035
138.9946 0.2694
139.2965 0.2640
139.5984 0.2907
139.9002 0.2258
140.2253 0.2800
140.5504 0.2592
140.8755 0.2624
141.1773 0.1943
141.4792 0.2846
141.7810 0.2374
142.0829 0.2958
142.3848 0.2818
142.6866 0.2853
142.9885 0.2834
143.2903 0.3002
143.6154 0.2001
143.9173 0.2635
144.2191 0.2548
144.5210 0.3007
144.8229 0.2267
145.1479 0.2917
145.4730 0.2316
145.7749 0.2927
146.1000 0.2304
146.4018 0.2393
146.7037 0.2647
147.0055 0.2915
147.3074 0.1993
147.6093 0.2642
147.9111 0.2426
148.2130 0.2885
148.5148 0.2053
148.8167 0.2502
149.1185 0.2583
149.4204 0.2691
149.7223 0.2349
150.0241 0.2482
150.3492 0.2333
150.6511 0.2439
150.9529 0.2218
151.2548 0.1599
151.5566 0.2153
151.8585 0.2085
152.1604 0.1356
152.4622 0.2017
152.7641 0.1956
153.0659 0.2114
153.3678 0.2016
153.6697 0.1777
153.9715 0.1631
154.2734 0.1158
154.5752 0.2251
154.8771 0.1715
155.2022 0.2347
155.5273 0.1308
155.8523 0.1584
156.1542 0.1419
156.4561 0.2226
156.7811 0.0762
157.1062 0.0776
157.4081 0.0881
157.7332 0.2994
158.0350 0.1874
158.3369 0.1338
158.6387 0.1135
158.9406 0.2266
159.2424 0.1411
159.5443 0.1493
159.8694 0.1588
160.1712 0.1939
160.4731 0.1340
160.7750 0.1717
161.0768 0.1594
161.3787 0.1544
161.6805 0.1508
161.9824 0.0832
162.2843 0.0766
162.5861 0.1801
162.8880 0.1431
163.1898 0.1724
163.4917 0.1157
163.7936 0.2061
164.0954 0.1851
164.3973 0.1531
164.6991 0.1040
165.0010 0.1195
165.3029 0.2365
165.6279 0.1273
165.9298 0.1516
166.2549 0.1614
166.5800 0.2195
166.9050 0.1206
167.2301 0.0862
167.5320 0.1061
167.8571 0.2658
168.1821 0.1944
168.5072 0.1661
168.8091 0.2086
169.1109 0.2135
169.4360 0.1449
169.7379 0.1819
170.0397 0.2618
170.3648 0.2556
170.6899 0.2445
171.0150 0.2120
171.3168 0.2381
171.6187 0.3360
171.9205 0.2738
172.2224 0.1872
172.5243 0.1851
172.8261 0.3092
173.1512 0.2444
173.4763 0.3120
173.7781 0.2784
174.1032 0.3089
174.4283 0.2911
174.7534 0.2903
175.0552 0.3023
175.3571 0.3025
175.6822 0.2639
176.0073 0.2875
176.3323 0.2264
176.6342 0.2675
176.9361 0.2718
177.2611 0.2439
177.5630 0.2523
177.8649 0.2964
178.1899 0.2947
178.4918 0.3056
178.8169 0.2452
179.1187 0.2987
179.4438 0.2281
179.7457 0.2670
180.0707 0.1928
180.3726 0.2558
180.6977 0.2642
180.9995 0.2814
181.3014 0.2005
181.6033 0.2663
181.9051 0.2859
182.2070 0.2807
182.5088 0.3032
182.8107 0.3024
183.1358 0.2490
183.4609 0.3008
183.7859 0.2449
184.0878 0.3021
184.4129 0.2721
184.7147 0.2275
185.0166 0.2759
185.3185 0.2952
185.6435 0.2686
185.9686 0.2883
186.2705 0.2303
186.5956 0.2358
186.8974 0.2427
187.1993 0.2215
187.5011 0.2880
187.8030 0.3311
188.1281 0.2822
188.4532 0.2589
188.7782 0.2400
189.0801 0.2743
189.3820 0.2461
189.7070 0.2689
190.0321 0.1870
190.3340 0.2633
190.6590 0.2629
190.9609 0.3023
191.2628 0.2719
191.5646 0.3031
191.8665 0.3130
192.1683 0.2980
192.4702 0.2775
192.7721 0.3088
193.0739 0.2952
193.3758 0.3016
193.6776 0.2516
193.9795 0.2234
194.2814 0.2796
194.5832 0.2680
194.8851 0.1466
195.1869 0.2009
195.4888 0.1359
195.7907 0.2028
196.0925 0.1796
196.3944 0.2995
196.6962 0.3038
196.9981 0.2457
197.3000 0.1889
197.6018 0.2258
197.9037 0.2584
198.2055 0.1842
198.5074 0.2732
198.8093 0.2312
199.1111 0.2986
199.4130 0.1831
199.7148 0.2592
200.0167 0.2785
200.3185 0.2790
200.6204 0.2119
200.9223 0.2394
201.2241 0.2317
201.5260 0.2955
201.8278 0.2389
202.1297 0.2562
202.4316 0.1992
202.7334 0.3073
203.0353 0.3055
203.3371 0.2468
203.6390 0.2497
203.9409 0.3038
204.2427 0.2868
204.5446 0.2971
204.8464 0.2194
205.1483 0.2887
205.4734 0.2959
205.7752 0.2929
206.0771 0.1666
206.3790 0.2891
206.6808 0.2912
206.9827 0.2769
207.3078 0.1957
207.6096 0.2683
207.9115 0.2980
208.2133 0.2507
208.5152 0.2038
208.8171 0.2533
209.1189 0.2573
209.4208 0.2950
209.7226 0.1945
210.0245 0.3338
210.3263 0.3496
210.6282 0.2983
210.9301 0.2421
211.2319 0.2505
211.5338 0.2795
211.8356 0.2151
212.1375 0.2619
212.4394 0.2448
212.7412 0.2540
213.0431 0.3077
213.3449 0.1819
213.6468 0.2407
213.9487 0.2833
214.2505 0.3049
214.5524 0.2132
214.8542 0.2767
215.1561 0.2738
215.4580 0.2670
215.7598 0.2233
216.0617 0.2913
216.3635 0.3518
216.6654 0.3439
216.9673 0.2835
217.2691 0.3394
217.5710 0.2773
217.8728 0.2443
218.1747 0.2590
218.4766 0.2884
218.7784 0.2686
219.0803 0.2537
219.3821 0.2038
219.6840 0.2736
219.9859 0.2331
220.2877 0.2109
220.5896 0.1969
220.8914 0.2986
221.1933 0.3358
221.4951 0.2824
221.7970 0.2735
222.0989 0.2485
222.4007 0.2494
222.7026 0.2724
223.0044 0.1879
223.3063 0.2139
223.6082 0.2625
223.9100 0.1798
224.2119 0.1711
224.5137 0.1771
224.8156 0.2915
225.1175 0.2782
225.4193 0.2955
225.7212 0.2327
226.0230 0.2335
226.3249 0.2065
226.6268 0.2236
226.9286 0.2807
227.2305 0.3002
227.5323 0.2364
227.8342 0.2844
228.1128 0.2213
228.4147 0.2094
228.7166 0.2699
229.0184 0.1499
229.3203 0.1582
229.6221 0.1532
229.9240 0.1478
230.2259 0.1164
230.5277 0.1629
230.8296 0.2182
231.1314 0.2338
231.4333 0.2980
231.7351 0.2787
232.0370 0.2675
232.3389 0.2980
232.6407 0.3033
232.9426 0.2135
233.2444 0.2347
233.5463 0.2308
233.8482 0.1866
234.1500 0.2083
234.4519 0.2158
234.7537 0.2949
235.0556 0.2738
235.3575 0.2916
235.6593 0.2406
235.9612 0.2863
236.2630 0.2585
236.5649 0.2353
236.8668 0.3006
237.1686 0.3173
237.4937 0.2923
237.8188 0.3215
238.1439 0.2459
238.4689 0.2454
238.7708 0.2670
239.0727 0.2726
239.3745 0.3252
239.6996 0.3302
240.0015 0.2674
240.3033 0.2576
240.6052 0.2330
240.9302 0.2187
241.2321 0.1851
241.5340 0.1043
241.8358 0.1948
242.1377 0.0024
242.4395 0.1878
242.7414 0.2072
243.0433 0.0039
243.3451 0.0004
243.6470 0.0003
243.9488 0.0002
244.2507 0.0495
244.5526 0.0483
244.8544 0.0568
245.1331 0.0496
245.4349 0.0373
245.7368 0.0555
246.0386 0.0516
246.3405 0.0475
246.6191 0.0549
246.8978 0.0447
247.1764 0.0526
247.4783 0.0452
247.7569 0.0576
248.0588 0.0389
248.3606 0.0233
248.6625 0.0211
248.9644 0.0278
249.2662 0.0162
249.5681 0.0072
249.8699 0.0035
250.1718 0.0022
250.4737 0.0602
250.7755 0.0944
251.0774 0.0764
251.3792 0.0681
251.6811 0.0648
251.9829 0.0554
252.2848 0.0477
252.5867 0.0459
252.8885 0.0411
253.1904 0.0356
253.4922 0.0328
253.7941 0.0311
254.0960 0.0283
254.3978 0.0252
254.6997 0.0234
255.0015 0.0219
255.3034 0.0206
255.6053 0.0196
255.9071 0.0181
256.2090 0.0169
256.5108 0.0160
256.8127 0.0151
257.1146 0.0147
257.4164 0.0134
257.7183 0.0130
258.0201 0.0125
258.3220 0.0163
258.6239 0.0110
258.9257 0.0095
