# time(s) volume
115.1478 0.2676
115.4961 0.2914
115.8444 0.1960
116.1927 0.2764
116.5177 0.2534
116.8660 0.2927
117.2143 0.3100
117.5626 0.2891
117.9109 0.2737
118.2592 0.2945
118.6075 0.3030
118.9558 0.3084
119.3041 0.3022
119.6524 0.2787
119.9775 0.2884
120.3258 0.2949
120.6741 0.2685
121.0224 0.2902
121.3475 0.2847
121.6958 0.2837
122.0441 0.2731
122.3924 0.3037
122.7407 0.2975
123.0890 0.2911
123.4373 0.2759
123.7856 0.2994
124.1339 0.2549
124.4822 0.2687
124.8073 0.2293
125.1556 0.2910
125.5039 0.3030
125.8522 0.2457
126.2005 0.2491
126.5255 0.2885
126.8738 0.2974
127.2221 0.2562
127.5704 0.3157
127.9187 0.2247
128.2670 0.2775
128.5921 0.1827
128.9404 0.2517
129.2887 0.2910
129.6370 0.2667
129.9853 0.2916
130.3336 0.3179
130.6587 0.3095
131.0070 0.2279
131.3553 0.2681
131.7036 0.2509
132.0519 0.2820
132.4002 0.2508
132.7253 0.2252
133.0736 0.2871
133.4219 0.2802
133.7702 0.2557
134.1185 0.2609
134.4668 0.2827
134.7918 0.2635
135.1401 0.2747
135.4884 0.2704
135.8367 0.2867
136.1850 0.2712
136.5333 0.2592
136.8816 0.2637
137.2299 0.2633
137.5550 0.2711
137.9033 0.2546
138.2516 0.2681
138.5999 0.2899
138.9482 0.2827
139.2965 0.2572
139.6448 0.2431
139.9931 0.2493
140.3182 0.3059
140.6665 0.2486
141.0148 0.2645
141.3631 0.2901
141.6882 0.3191
142.0365 0.2594
142.3848 0.2954
142.7331 0.2808
143.0814 0.2851
143.4297 0.2684
143.7780 0.2656
144.1030 0.2723
144.4513 0.2914
144.7996 0.2382
145.1479 0.2647
145.4962 0.2528
145.8445 0.2689
146.1928 0.2703
146.5411 0.2479
146.8662 0.2899
147.2145 0.2850
147.5628 0.2481
147.9111 0.2821
148.2594 0.2622
148.6077 0.2967
148.9560 0.2533
149.3043 0.2684
149.6294 0.2709
149.9777 0.2835
150.3260 0.2626
150.6743 0.2429
151.0226 0.3233
151.3709 0.3164
151.7192 0.2816
152.0675 0.2540
152.3926 0.2593
152.7409 0.3153
153.0892 0.3106
153.4375 0.2579
153.7858 0.2857
154.1108 0.3025
154.4591 0.2765
154.8074 0.2812
155.1557 0.2511
155.5040 0.2951
155.8523 0.3170
156.2006 0.2863
156.5257 0.2616
156.8740 0.3153
157.2223 0.2766
157.5706 0.2928
157.8957 0.2797
158.2440 0.3030
158.5923 0.3081
158.9406 0.2975
159.2889 0.2944
159.6372 0.2908
159.9855 0.2725
160.3338 0.3216
160.6821 0.2996
161.0072 0.3109
161.3555 0.2770
161.7038 0.3064
162.0521 0.3142
162.4004 0.3029
162.7487 0.2780
163.0970 0.2492
163.4453 0.2631
163.7703 0.2847
164.1186 0.3069
164.4669 0.2850
164.8152 0.2731
165.1635 0.3052
165.4886 0.2947
165.8369 0.2604
166.1852 0.2838
166.5335 0.2861
166.8818 0.3055
167.2301 0.2643
167.5552 0.2548
167.9035 0.3071
168.2286 0.2164
168.5537 0.3223
168.9020 0.3080
169.2502 0.2893
169.5985 0.2789
169.9701 0.2689
170.3184 0.2692
170.6667 0.3062
171.0150 0.2407
171.3633 0.2840
171.7116 0.2736
172.0599 0.3081
172.4082 0.2384
172.7565 0.2528
173.0815 0.3010
173.4298 0.3204
173.7781 0.3330
174.1264 0.2981
174.4747 0.2772
174.8230 0.3092
175.1481 0.2983
175.4964 0.2718
175.8447 0.3195
176.1930 0.2795
176.5413 0.2957
176.8896 0.2710
177.2147 0.2924
177.5630 0.2516
177.9113 0.3084
178.2596 0.2583
178.6079 0.2926
178.9330 0.3085
179.2813 0.3189
179.6296 0.2815
179.9779 0.2909
180.3262 0.3186
180.6745 0.3052
181.0228 0.2600
181.3478 0.3034
181.6961 0.2768
182.0444 0.2985
182.3927 0.2705
182.7410 0.2152
183.0893 0.2794
183.4376 0.2422
183.7859 0.2335
184.1342 0.2956
184.4593 0.3312
184.8076 0.3127
185.1559 0.2939
185.4810 0.2411
185.8293 0.3017
186.1776 0.3213
186.5259 0.2909
186.8742 0.1870
187.2225 0.2895
187.5708 0.2944
187.9191 0.3278
188.2674 0.3203
188.6157 0.3028
188.9640 0.2701
189.3123 0.2529
189.6374 0.2968
189.9857 0.3070
190.3340 0.2787
190.6823 0.2830
191.0073 0.3129
191.3556 0.3158
191.7039 0.2665
192.0522 0.2554
192.4005 0.2708
192.7256 0.3158
193.0739 0.3047
193.4222 0.2979
193.7705 0.3278
194.1188 0.3153
194.4671 0.3453
194.8154 0.3191
195.1405 0.3018
195.4888 0.3002
195.8371 0.2740
196.1854 0.2749
196.5337 0.2647
196.8820 0.3086
197.2303 0.2969
197.5786 0.2651
197.9269 0.1917
198.2520 0.3028
198.6003 0.2520
